Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,Response,DVD,BoxOffice,Production,Website
Scandal,2012–2018,TV-14,05 Apr 2012,31S min,"Drama, Thriller",N/A,Shonda Rhimes,"Kerry Washington, Darby Stanchfield, Katie Lowes",A former White House Communications Director starts her own crisis management firm only to realize her clients are not the only ones with secrets.,English,United States,Won 2 Primetime Emmys. 36 wins & 71 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxNzk3MDQyNl5BMl5BanBnXkFtZTgwNDgxMDkyMzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"80,641",tt1837576,series,7,True,,,,
Supersex,2024,TV-MA,06 Mar 2024,N/A,"Biography, Drama, History",N/A,N/A,"Alessandro Borghi, Jasmine Trinca, Adriano Giannini","Siffredi's family, his origins, his relationship and the context that led him to embark on his path in pornography and accept that the demon in his body is compatible with love.",Italian,Italy,4 nominations,https://m.media-amazon.com/images/M/MV5BZjNmZDJlYmMtZjFhNy00NDRlLTg5N2QtOWQxYzJkMGZmMzk2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"4,200",tt22325774,series,1,True,,,,
The Dukes of Hazzard,2005,PG-13,05 Aug 2005,104 min,Comedy,Jay Chandrasekhar,"Gy Waldron, John O'Brien, Jonathan L. Davis","Seann William Scott, Johnny Knoxville, Jessica Simpson","Cousins Bo, Luke, and Daisy Duke, and their uncle Jesse, egg on the authorities of Hazzard County, Boss Hogg and Sheriff Coltrane.",English,United States,5 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMjAwOTYxODI4OV5BMl5BanBnXkFtZTcwNDYxODIzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.1,"82,548",tt0377818,movie,,True,N/A,"$80,270,227",N/A,N/A
Ghosts,2021–,TV-PG,07 Oct 2021,N/A,"Comedy, Fantasy",N/A,"Joe Port, Joe Wiseman","Rose McIver, Utkarsh Ambudkar, Brandon Scott Jones","A young couple, Sam and Jay, inherit a haunted mansion and, unaware of their invisible housemates, plan to turn it into a B&amp;B. Their lives become much more complicated after a fall causes Sam to see the ghosts. Based on the UK ser...",English,"United Kingdom, United States",Nominated for 1 BAFTA Award5 wins & 56 nominations total,https://m.media-amazon.com/images/M/MV5BZDlkM2UzNmYtZGFhOS00ZDMwLTg4NzctZmFkYWQxNjFiNGI1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"32,081",tt11379026,series,4,True,,,,
Star Trek: Prodigy,2021–2024,TV-Y7,28 Oct 2021,1 min,"Animation, Action, Adventure",N/A,"Dan Hageman, Kevin Hageman","Rylee Alazraqui, Dee Bradley Baker, Brett Gray",A group of enslaved teenagers steal a derelict Starfleet vessel to escape and explore the galaxy.,English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNGFjOGUzZmUtNmJmMC00N2QyLWE4OGUtOWIwZmE4MTBmNGZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"6,923",tt9795876,series,2,True,,,,
Jackie Chan Adventures,2000–2005,TV-Y7,09 Sep 2000,30 min,"Animation, Action, Adventure",N/A,"Duane Capizzi, Jeff Kline, John Rogers","Jackie Chan, James Sie, Stacie Chan","Jackie Chan teams up with his 11-year-old niece, Jade, traveling the globe to locate a dozen magical talismans before the sinister Dark Hand does. Helping Jackie and Jade is Uncle, a cantankerous but wise antiquities expert.","Persian, English","United States, Hong Kong, South Korea",5 nominations,https://m.media-amazon.com/images/M/MV5BMjI1ZTkxMmMtYmZhYS00MjQwLWIyMGUtN2VmMTBkYWRkNmE1XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"21,933",tt0259141,series,5,True,,,,
Californication,2007–2014,TV-MA,13 Aug 2007,28 min,"Comedy, Drama",N/A,Tom Kapinos,"David Duchovny, Natascha McElhone, Evan Handler","A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women.",English,United States,Won 2 Primetime Emmys. 6 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMjAyMDM2ODExNF5BMl5BanBnXkFtZTgwNTI2MjkzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"189,869",tt0904208,series,7,True,,,,
Zatch Bell!,2003–2013,TV-Y7,05 Mar 2005,30 min,"Animation, Action, Adventure",N/A,N/A,"Takahiro Sakurai, Ikue Ôtani, Ai Maeda",Kiyo Takamine meets a momoto (demons from another world) boy zatch bell and set out to compete in the momoto games held every 1000 years to become their king.,"Japanese, English",Japan,N/A,https://m.media-amazon.com/images/M/MV5BMzhiMTRiNzQtNDU0Zi00NTRhLTgzYWUtYzE5ODE5ODBjYWU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"1,194",tt0455295,series,4,True,,,,
Daydreamer,2018–2019,TV-PG,27 Oct 2020,1 min,"Comedy, Romance",N/A,N/A,"Demet Özdemir, Can Yaman, Öznur Serçeler","Famous photographer Can Divit returns to Istanbul to save his family's advertising agency from ruin. The only person he trusts there is Sanem, a young aspiring writer. She is not convinced in his honesty, but soon falls for his ch...","Turkish, English",Turkey,9 wins & 15 nominations,https://m.media-amazon.com/images/M/MV5BYzQ3YjRhMmQtZDk3MC00OTMyLWJiZjQtNGFmMDljMTE5ZTRhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"11,728",tt8478162,series,1,True,,,,
Orange Is the New Black,2013–2019,TV-MA,11 Jul 2013,59 min,"Comedy, Crime, Drama",N/A,Jenji Kohan,"Taylor Schilling, Danielle Brooks, Taryn Manning","Convicted of a decade-old crime of transporting drug money, ordinarily law-abiding Piper Chapman is sentenced to 18 months behind bars and quickly discovers the realities of life-changing prison time.",English,United States,Won 4 Primetime Emmys. 57 wins & 163 nominations total,https://m.media-amazon.com/images/M/MV5BNjRjMTAyYjUtZDk0Mi00OGQ5LWJjNzMtMzBhNDMwMmI5NzVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"324,543",tt2372162,series,7,True,,,,
Der Alte,1967,N/A,03 Aug 1967,105 min,Drama,Lutz Büscher,"Maxim Gorky, Alice Wagner","Paul Verhoeven, Ursula Jockeit, Hans Helmut Dickow",N/A,German,"West Germany, Belgium, Canada, Switzerland",N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}]",N/A,9.3,26,tt0061347,movie,,True,N/A,N/A,N/A,N/A
The Legend of Vox Machina,2022–,TV-MA,28 Jan 2022,N/A,"Animation, Action, Adventure",N/A,"Chris Prynoski, Critical Role","Laura Bailey, Taliesin Jaffe, Ashley Johnson","After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma C...",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMjI0ZjE2NDgtM2IxMy00NTk3LWFhMTEtMWNhOWJiYjIzYzY2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"45,236",tt11247158,series,3,True,,,,
The King of Queens,1998–2007,TV-PG,21 Sep 1998,22 min,Comedy,N/A,"David Litt, Michael J. Weithorn","Kevin James, Leah Remini, Jerry Stiller","Deliveryman Doug Heffernan has a good life: He has a pretty wife (Carrie), a big television, and friends with which to watch it. Then Carrie's goofy, annoying father Arthur moves in with them.",English,United States,Nominated for 1 Primetime Emmy. 14 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTI4NzcwODk1M15BMl5BanBnXkFtZTYwNjkxNTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"89,863",tt0165581,series,9,True,,,,
The King of Queens,1998–2007,TV-PG,21 Sep 1998,22 min,Comedy,N/A,"David Litt, Michael J. Weithorn","Kevin James, Leah Remini, Jerry Stiller","Deliveryman Doug Heffernan has a good life: He has a pretty wife (Carrie), a big television, and friends with which to watch it. Then Carrie's goofy, annoying father Arthur moves in with them.",English,United States,Nominated for 1 Primetime Emmy. 14 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BMTI4NzcwODk1M15BMl5BanBnXkFtZTYwNjkxNTc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"89,863",tt0165581,series,9,True,,,,
"Magnum, P.I.",1980–1988,TV-PG,11 Dec 1980,31S min,"Action, Adventure, Crime",N/A,"Donald P. Bellisario, Glen A. Larson","Tom Selleck, John Hillerman, Roger E. Mosley",The adventures of a Hawaii-based private investigator.,English,United States,Won 2 Primetime Emmys. 10 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BZTJlNTQ5ZDktNmU4YS00NjllLWIwY2QtNmM4YTI1MWVkMWZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"29,577",tt0080240,series,8,True,,,,
Married... with Children,1987–1997,TV-PG,05 Apr 1987,22 min,Comedy,N/A,"Ron Leavitt, Michael G. Moye","Ed O'Neill, Christina Applegate, Katey Sagal","Al is the quintessential working class dad. Peggy, his wife, always wants more from him. With their children, they go through the highs and lows of ordinary life.",English,United States,Nominated for 7 Primetime Emmys. 7 wins & 31 nominations total,https://m.media-amazon.com/images/M/MV5BN2M5MjIwY2MtNmRhZC00MjFlLWEwM2ItODFmNjEyZmMzNjFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"112,944",tt0092400,series,11,True,,,,
My Little Pony: Friendship Is Magic,2010–2020,TV-Y,10 Oct 2010,22 min,"Animation, Adventure, Comedy",N/A,"Lauren Faust, Bonnie Zacherle","Ashleigh Ball, Tara Strong, Tabitha St. Germain","After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her...",English,"United States, Canada, Philippines",21 wins & 48 nominations,https://m.media-amazon.com/images/M/MV5BZjhkNzBmMDAtMTBiNy00NGIxLThlN2EtMTJlZDEzZjIzYWUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"23,443",tt1751105,series,9,True,,,,
Courage the Cowardly Dog,1999–2002,TV-Y7,12 Nov 1999,33S min,"Animation, Adventure, Comedy",N/A,John Dilworth,"Marty Grabstein, Thea White, Peter Fernandez","The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land.",English,"United States, China, Canada, Taiwan, Spain",2 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMzdiMWI4OGMtZDc2MC00NDllLTgyMWUtN2ZmZjVlYWFkYjQxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"52,682",tt0220880,series,4,True,,,,
Ace of Diamond,2013–2016,N/A,06 Oct 2013,N/A,"Animation, Sport",N/A,N/A,"Nobunaga Shimazaki, Natsuki Hanae, Takahiro Sakurai","Follows the life of Eijun Sawamura, a gifted baseball player who have his own extraordinary pitcher's talent. His goal is one, to become the ace of Seidou High School.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BMDkwNmU2NzYtYzA4ZS00NTRhLWIzN2ItNWI5M2Q4OGYwNTQ5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"1,442",tt3105422,series,2,True,,,,
Moving,2023–,TV-MA,09 Aug 2023,N/A,"Action, Adventure, Fantasy",N/A,N/A,"Ryu Seung-ryong, Han Hyo-joo, Zo In-sung",The quiet lives of three high school students with genetic superhuman abilities turn upside down when a mysterious organization starts to hunt them down one by one.,Korean,South Korea,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BNTg4NTI5NmItNGJjNC00ZmFhLTg0NzctZWQxZjAzYTAyNTQwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"11,821",tt24640580,series,1,True,,,,
Batman,1989,PG-13,23 Jun 1989,126 min,"Action, Adventure",Tim Burton,"Bob Kane, Sam Hamm, Warren Skaaren","Michael Keaton, Jack Nicholson, Kim Basinger","The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.","English, French, Spanish","United States, United Kingdom",Won 1 Oscar. 11 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BYzZmZWViM2EtNzhlMi00NzBlLWE0MWEtZDFjMjk3YjIyNTBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.5,"412,616",tt0096895,movie,,True,N/A,"$251,409,241",N/A,N/A
Belle and Sebastian,1981–1982,TV-G,07 Apr 1981,24 min,"Animation, Adventure",N/A,N/A,"Tôru Furuya, Keiko Yokozawa, Ichirô Nagai",The adventures of a boy searching for his mother with his only companion being a large Pyrenean mountain dog falsely accused of being dangerous.,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BZWM5MzFmODUtN2U2MS00YWQ5LTk1OTMtYjA3NTU4MGNhODEzXkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,967,tt0283710,series,1,True,,,,
The Patrick Star Show,2021–,TV-Y7,09 Jul 2021,N/A,"Animation, Comedy, Family",N/A,"Marc Ceccarelli, Kaz, Vincent Waller","Bill Fagerbakke, Jill Talley, Tom Kenny","Still living at home with his eccentric family, Patrick hosts a show based around his ever-changing whims.",English,"United States, South Korea",N/A,https://m.media-amazon.com/images/M/MV5BMGI0MDBmMzEtNDgwOC00MGQzLTkyM2QtM2Y4MTk0NWI3ZGJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",N/A,3.6,"1,556",tt12915960,series,3,True,,,,
wtFOCK,2018–2023,N/A,05 Oct 2018,N/A,"Drama, Romance",N/A,N/A,"Veerle Dejaeger, Yara Veyt, Nona Janssens","The story of young teenagers and pupils in a high school in Antwerp, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",Flemish,Belgium,N/A,https://m.media-amazon.com/images/M/MV5BYjY1MTU5YjEtNDA1Yy00NTMyLWEyYmQtYjcxYTMxZTlkZjNiXkEyXkFqcGdeQXVyOTk4NjUyNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"1,085",tt9599524,series,7,True,,,,
Top Gear,2002–2022,TV-PG,20 Oct 2002,1 min,"Adventure, Sport, Talk-Show",N/A,N/A,"Jeremy Clarkson, Richard Hammond, James May","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.","English, Italian, German, Spanish, French",United Kingdom,Nominated for 7 BAFTA 12 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BNTJlYmZjNDAtYjA2YS00YjAyLWI4NmYtYjFhNmM5MDEyMWJmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,"129,519",tt1628033,series,33,True,,,,
Genius,2016,PG-13,10 Jun 2016,104 min,"Biography, Drama",Michael Grandage,"John Logan, A. Scott Berg","Colin Firth, Jude Law, Nicole Kidman","A chronicle of Max Perkins's time as the book editor at Scribner, where he oversaw works by Thomas Wolfe, Ernest Hemingway, F. Scott Fitzgerald and others.","English, Spanish","United Kingdom, United States",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BMjMwNzM3NzY0M15BMl5BanBnXkFtZTgwODMwMjQ1ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,6.5,"21,671",tt1703957,movie,,True,N/A,"$1,361,045",N/A,N/A
Saint Seiya: Knights of the Zodiac,1986–1989,TV-PG,30 Aug 2003,1 min,"Animation, Action, Adventure",N/A,N/A,"Hideyuki Tanaka, Tôru Furuya, Ryô Horikawa","A group a young warriors known as 'Saints', each in possession of a 'cloth' guarded by a different constellation, must protect the reincarnation of the goddess Athena as she attempts to keep the Earth from being destroyed by evil ...","Japanese, English",Japan,N/A,https://m.media-amazon.com/images/M/MV5BZDI1M2U3NDktNmU3Mi00NDFiLTkyZTUtMjcxNWMzMWVmM2Y5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"11,496",tt0161952,series,3,True,,,,
Dexter's Laboratory,1996–2003,TV-G,24 Mar 1996,23 min,"Animation, Adventure, Comedy",N/A,Genndy Tartakovsky,"Kath Soucie, Jeff Bennett, Christine Cavanaugh",The misadventures of a boy genius and his annoying sister.,English,"United States, Philippines, South Korea",Nominated for 4 Primetime Emmys. 2 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BYmE4ZmI4YzMtYTU4My00YTRiLWIzOGEtOWEzNWYxM2NjYzgzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"54,889",tt0115157,series,5,True,,,,
Gold Rush,2010–,TV-14,03 Dec 2010,2 min,Reality-TV,N/A,N/A,"Paul Christie, Parker Schnabel, Tony Beets",A reality TV show that follows crews mining the gold placer deposits of the Yukon Territory.,English,United States,6 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYzRjNmEwZWEtMjc5OC00MGFlLThmYWYtZjY3NGQyN2YzN2Y3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"5,576",tt1800864,series,15,True,,,,
Rurouni Kenshin,1996–1998,TV-14,17 Mar 2003,24 min,"Animation, Action, Adventure",N/A,N/A,"Mayo Suzukaze, Dorothy Elias-Fahn, Richard Cansino",The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNDFlZTJjYTYtMzMzZS00OGQ3LTg1OGUtZmNhNGY1ZWMzYjY0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"20,918",tt0182629,series,3,True,,,,
See,2019–2022,TV-MA,01 Nov 2019,60 min,"Action, Drama, Sci-Fi",N/A,Steven Knight,"Jason Momoa, Sylvia Hoeks, Hera Hilmar","Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight.",English,United States,Nominated for 1 Primetime Emmy. 8 wins & 13 nominations total,https://m.media-amazon.com/images/M/MV5BMDEwYTg3MWQtZTNmMi00ZjU1LTkwNWQtZDFmODQ5NjcwMDc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"101,033",tt7949218,series,3,True,,,,
Kaguya-sama: Love is War,2019–2023,TV-14,12 Jan 2019,24 min,"Animation, Comedy, Romance",N/A,N/A,"Aaron Dismuke, Aoi Koga, Makoto Furukawa",The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,"Japanese, English",Japan,26 wins & 47 nominations,https://m.media-amazon.com/images/M/MV5BMTM1ZWViNWMtZWY2ZC00YmYyLTk1ZGEtMzRjOWI2YTM1OTI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"21,898",tt9522300,series,4,True,,,,
Real Time with Bill Maher,2003–,TV-MA,21 Feb 2003,1 min,"Comedy, News, Talk-Show",N/A,N/A,"Bill Maher, Andrew Sullivan, Michael Moore",Comedian and political satirist Bill Maher discusses topical events with guests from various backgrounds.,English,United States,Nominated for 22 Primetime Emmys. 2 wins & 74 nominations total,https://m.media-amazon.com/images/M/MV5BMTUxNTY4NzIwMl5BMl5BanBnXkFtZTgwNDIxMTQ5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"14,544",tt0350448,series,22,True,,,,
WWE Raw,1993–,TV-PG,11 Jan 1993,60 min,"Action, Sport",N/A,"Vince McMahon, Dusty Rhodes","Jerry Lawler, Michael Coulthard, Paul Levesque","The superstars of World Wrestling Entertainment's ""RAW"" brand collide each and every week on WWE Monday Night.",English,United States,7 wins,https://m.media-amazon.com/images/M/MV5BZDVkZGMyMzgtNjQzZS00N2ViLWIxZDktMjI2MjM1YjdjN2NhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"10,038",tt0185103,series,32,True,,,,
Kageki Shojo!!,2021–,TV-14,04 Jul 2021,N/A,"Animation, Comedy, Drama",N/A,Kumiko Saiki,"Kayleigh McKee, Kestin Howard, Keith Silverstein","Founded in the Taisho era, the ""Red Flower Opera Company"" attracts people's hearts across generations on a beautiful and gorgeous stage created only by unmarried women. The 100th generation students who have passed through a high ...",Japanese,Japan,5 nominations,https://m.media-amazon.com/images/M/MV5BNGYwMjViY2QtOGRhOC00MGQ1LTgwMjQtY2MxY2UwOWY5YjY3XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,222,tt13351056,series,1,True,,,,
Tokyo Ghoul,2014,TV-MA,03 Jul 2014,24 min,"Animation, Action, Drama",N/A,N/A,"Natsuki Hanae, Austin Tindle, Brina Palencia","A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.","Japanese, English",Japan,6 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZWI2NzZhMTItOTM3OS00NjcyLThmN2EtZGZjMjlhYWMwODMzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"68,335",tt3741634,series,1,True,,,,
Veronica Mars,2004–2019,TV-14,22 Sep 2004,2 min,"Crime, Drama, Mystery",N/A,Rob Thomas,"Kristen Bell, Jason Dohring, Enrico Colantoni","After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune.",English,United States,6 wins & 20 nominations,https://m.media-amazon.com/images/M/MV5BYjYyODQ3OTktM2IyMC00ZDk4LWIzMjYtZjczN2FkZGRhMDYwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"79,269",tt0412253,series,4,True,,,,
That '70s Show,1998–2006,TV-14,23 Aug 1998,22 min,"Comedy, Drama, Romance",N/A,"Mark Brazill, Bonnie Turner, Terry Turner","Topher Grace, Laura Prepon, Mila Kunis","A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin.",English,United States,Won 1 Primetime Emmy. 15 wins & 82 nominations total,https://m.media-amazon.com/images/M/MV5BMTdhMTNmNjEtOTI5Yi00N2MyLTlmOGMtOWMyYzFhZjhmZTU4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"192,196",tt0165598,series,8,True,,,,
Snowpiercer,2013,R,11 Jul 2014,126 min,"Action, Drama, Sci-Fi",Bong Joon Ho,"Jacques Lob, Benjamin Legrand, Jean-Marc Rochette","Chris Evans, Jamie Bell, Tilda Swinton","In a future where a failed climate change experiment has killed all life except for the survivors who boarded the Snowpiercer (a train that travels around the globe), a new class system emerges.","English, Korean, French, Japanese, Czech, German","South Korea, Czech Republic",35 wins & 108 nominations,https://m.media-amazon.com/images/M/MV5BMTQ3NzA1MTY3MV5BMl5BanBnXkFtZTgwNzE2Mzg5MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,7.1,"396,013",tt1706620,movie,,True,N/A,"$4,563,650",N/A,N/A
The Donna Reed Show,1958–1966,TV-PG,24 Sep 1958,30 min,"Comedy, Family",N/A,William Roberts,"Donna Reed, Paul Petersen, Carl Betz",A loving mother and wife deals with situations and problems of a middle-class family in the late 1950s and the early 1960s.,English,United States,Nominated for 4 Primetime Emmys. 3 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMTI1ODM4MDMyM15BMl5BanBnXkFtZTcwNjQxODA4MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"1,944",tt0051267,series,8,True,,,,
Yu-Gi-Oh! Duel Monsters,2000–2004,TV-PG,29 Sep 2001,23 min,"Animation, Action, Adventure",N/A,Kazuki Takahashi,"Dan Green, Amy Birnbaum, Wayne Grayson","Yu-Gi-Oh! follows the adventures of high school student Yugi, who has a magical secret that comes to life when he plays his favorite card game: 'Duel Monsters.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BYTEwNzZmOGEtZGQ2MS00NzIxLWJkNGUtZTVlZjBmOTZlY2MzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"3,855",tt0247902,series,5,True,,,,
Star Trek: Lower Decks,2020–2024,TV-14,06 Aug 2020,N/A,"Animation, Action, Adventure",N/A,Mike McMahan,"Tawny Newsome, Jack Quaid, Noël Wells","The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies.",English,United States,Nominated for 2 Primetime Emmys. 4 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BODExMTFmZDAtMTljYy00YWJmLTk0N2MtZDVhMzBjNTU5ODgwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"26,048",tt9184820,series,5,True,,,,
